sequencial;tabela;codigo;3descricao;valor;custo;participacao
365;18;913;Exo ciso na "horizontal";R$ 300,00;R$ 0,00;0,00
366;18;914;Exo dos quatro cisos(pacote);R$ 0,00;R$ 0,00;0,00
367;18;914;Frenectomia;R$ 200,00;R$ 0,00;0,00
368;18;915;Cirurgia p/retirada duplo labio(buco );R$ 300,00;R$ 0,00;0,00
369;18;916;Alveoloplastia;R$ 250,00;R$ 0,00;0,00
370;18;917;Torus palato;R$ 300,00;R$ 0,00;0,00
371;18;918;Apicetomia unirradicular;R$ 200,00;R$ 0,00;0,00
372;18;919;Apicetomia birradicular;R$ 280,00;R$ 0,00;0,00
373;18;920;Biopsia do osso;R$ 250,00;R$ 0,00;0,00
374;18;921;Biópsia da mucosa;R$ 200,00;R$ 0,00;0,00
375;18;922;Mucocele;R$ 150,00;R$ 0,00;0,00
376;18;923;Exposição de incluso;R$ 200,00;R$ 1,00;0,00
377;18;924;Avaliação orto.Retornar 6 meses;R$ 0,00;R$ 0,00;0,00
378;18;925;Tracionamento(cirurgia);R$ 200,00;R$ 1,00;0,00
379;18;926;Elemento solidex c/estr metálica(ponte);R$ 380,00;R$ 60,00;0,00
380;18;927;Tratamento da perfuração;R$ 80,00;R$ 0,00;0,00
381;18;928;Clareamento a lazer;R$ 550,00;R$ 50,00;0,00
382;18;929;Laserterapia(por sessão);R$ 40,00;R$ 0,00;0,00
